frame,layout_fibers,paint_fibers,paint_replayed,prepaint_fibers,prepaint_replayed,mutated_segments,total_segments,hitboxes,hitboxes_rebuilt,upload_bytes,quads,mono_sprites,poly_sprites,reconcile_us,layout_us,prepaint_us,paint_us,total_us
0,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0
1,5546,2180,0,2180,0,2180,2180,1056,true,218992,363,970,0,4329,28877,790,4139,38279
2,47,5,5,5,5,2180,2180,1056,true,219104,363,971,0,231,895,18,181,1381
3,47,761,33,2180,0,2180,2180,1056,true,219104,363,971,0,1833,681,575,807,3951
4,47,5,5,5,5,2180,2180,1056,true,219104,363,971,0,183,477,9,105,822
5,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,173,503,9,71,809
6,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,224,596,10,89,969
7,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,204,710,11,59,1039
8,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,161,461,8,113,796
9,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,145,375,6,61,635
10,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,170,403,12,63,705
11,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,149,426,8,43,678
12,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,200,559,11,89,910
13,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,157,422,6,44,680
14,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,229,450,6,61,797
15,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,181,519,10,17,780
16,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,200,586,10,62,910
17,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,179,713,11,69,1028
18,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,160,526,10,16,763
19,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,150,457,8,86,754
20,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,162,476,8,66,761
21,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,520,477,7,15,1071
22,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,177,467,9,16,722
23,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,181,535,9,98,877
24,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,186,517,8,15,778
25,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,140,468,7,66,735
26,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,194,583,11,18,860
27,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,192,636,10,60,952
28,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,170,557,11,18,811
29,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,175,591,10,17,847
30,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,192,614,9,17,882
31,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,199,738,13,20,1025
32,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,176,567,10,78,886
33,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,155,473,8,15,702
34,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,161,416,8,13,648
35,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,156,386,6,12,614
36,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,143,382,5,12,593
37,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,164,470,6,14,704
38,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,170,393,7,12,637
39,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,150,375,6,12,592
40,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,174,490,7,15,738
41,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,170,494,7,15,739
42,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,168,401,6,13,641
43,47,5,5,5,5,5,2180,1056,false,219104,363,971,0,203,483,7,15,759
